Sr.,Date,open ,high,low,close
600,06/04 10:11,2229.75,2230.9,2229.75,2230.5
601,06/04 10:10,2230.5,2230.9,2229.75,2229.75
602,06/04 10:09,2233.65,2233.65,2230.5,2230.5
603,06/04 10:08,2236.4,2236.4,2232.7,2233.65
604,06/04 10:07,2239.8,2239.8,2235.35,2236.4
605,06/04 10:06,2234.85,2239.7,2234.85,2239.15
606,06/04 10:05,2232.9,2235.4,2232.8,2234.85
607,06/04 10:04,2232.65,2235.2,2232.4,2232.9
608,06/04 10:03,2225.2,2232.65,2225.2,2232.65
609,06/04 10:02,2226.9,2226.9,2224.75,2225.2
610,06/04 10:01,2227.95,2227.95,2226.85,2226.9
611,06/04 10:00,2228.75,2228.85,2227.95,2227.95
612,06/04 9:59,2227.4,2229.25,2227.4,2228.75
613,06/04 9:58,2226.55,2227.6,2225.85,2227.4
614,06/04 9:57,2227.3,2227.3,2226.55,2226.55
615,06/04 9:56,2226.4,2227.7,2226.4,2227.3
616,06/04 9:55,2225.7,2226.4,2224.0,2226.4
617,06/04 9:54,2226.35,2226.95,2224.25,2225.7
618,06/04 9:53,2229.05,2229.05,2226.35,2226.35
619,06/04 9:52,2228.7,2229.05,2227.7,2229.05
620,06/04 9:51,2226.4,2228.7,2225.85,2228.7
621,06/04 9:50,2227.5,2228.5,2226.05,2226.4
622,06/04 9:49,2228.6,2229.15,2227.5,2227.5
623,06/04 9:48,2230.4,2230.5,2228.6,2228.6
624,06/04 9:47,2230.5,2230.6,2228.9,2230.4
625,06/04 9:46,2231.65,2232.35,2230.5,2230.5
626,06/04 9:45,2232.45,2233.15,2231.65,2231.65
627,06/04 9:44,2231.75,2232.45,2230.75,2232.45
628,06/04 9:43,2231.35,2232.3,2229.95,2232.3
629,06/04 9:42,2230.5,2231.35,2228.35,2231.35
630,06/04 9:41,2229.55,2231.1,2229.05,2230.5
631,06/04 9:40,2229.55,2230.85,2227.45,2229.55
632,06/04 9:39,2233.1,2233.1,2229.55,2229.55
633,06/04 9:38,2232.65,2234.65,2232.5,2233.0
634,06/04 9:37,2233.8,2233.9,2230.6,2232.65
